metric,estimator,estimate,config,null_model_avg,seed,model,percent_change
mae,standard,154.90898645833323,Preprocessor1_Model1,150.87826171875,7649,taxaHFE_ML_supplement_users,2.671507938696199
mae,standard,200.9366552083333,Preprocessor1_Model1,154.569521484375,7671,taxaHFE_ML_supplement_users,29.997591555360682
mae,standard,198.7300653125,Preprocessor1_Model1,166.454296875,7749,taxaHFE_ML_supplement_users,19.39016837861367
mae,standard,181.11840084099924,Preprocessor1_Model1,158.883916015625,7837,taxaHFE_ML_supplement_users,13.994169695054376
mae,standard,157.72332208829386,Preprocessor1_Model1,153.406669921875,8019,taxaHFE_ML_supplement_users,2.813862114741942
mae,standard,121.1066589136906,Preprocessor1_Model1,157.51892578125,8209,taxaHFE_ML_supplement_users,-23.11612187993583
mae,standard,158.30886916228988,Preprocessor1_Model1,162.83455078125,8279,taxaHFE_ML_supplement_users,-2.779312865265219
mae,standard,133.92638554067457,Preprocessor1_Model1,160.175107421875,8280,taxaHFE_ML_supplement_users,-16.38751632740635
mae,standard,154.16041211309516,Preprocessor1_Model1,169.69349609375,8510,taxaHFE_ML_supplement_users,-9.15361185797795
mae,standard,178.76735406250003,Preprocessor1_Model1,162.77490234375,8650,taxaHFE_ML_supplement_users,9.824887920975053
mae,standard,177.27293812499997,Preprocessor1_Model1,154.1220703125,9063,taxaHFE_ML_supplement_users,15.02112433706539
mae,standard,150.91926455357148,Preprocessor1_Model1,170.903671875,9219,taxaHFE_ML_supplement_users,-11.693375046994442
mae,standard,192.9969000744048,Preprocessor1_Model1,160.2388671875,9241,taxaHFE_ML_supplement_users,20.443250418497843
mae,standard,147.6296528645833,Preprocessor1_Model1,160.1118359375,9350,taxaHFE_ML_supplement_users,-7.7959152737397455
mae,standard,127.37272371279762,Preprocessor1_Model1,173.911611328125,9352,taxaHFE_ML_supplement_users,-26.76008074441956
mae,standard,160.77869109374996,Preprocessor1_Model1,163.494541015625,9368,taxaHFE_ML_supplement_users,-1.661125750746318
mae,standard,144.92610843750003,Preprocessor1_Model1,166.55970703125,9508,taxaHFE_ML_supplement_users,-12.988494624147648
mae,standard,136.71644807692306,Preprocessor1_Model1,163.7628125,9515,taxaHFE_ML_supplement_users,-16.515571520901265
mae,standard,171.551380359172,Preprocessor1_Model1,161.061015625,9570,taxaHFE_ML_supplement_users,6.513286094381026
mae,standard,136.8686077802579,Preprocessor1_Model1,158.327021484375,9618,taxaHFE_ML_supplement_users,-13.553222629300077
mae,standard,125.05687735479806,Preprocessor1_Model1,156.093720703125,9674,taxaHFE_ML_supplement_users,-19.88346693801731
mae,standard,144.91224595914494,Preprocessor1_Model1,169.733017578125,9728,taxaHFE_ML_supplement_users,-14.623419752468314
mae,standard,143.76436287450397,Preprocessor1_Model1,162.76536132812498,9908,taxaHFE_ML_supplement_users,-11.673858798074463
mae,standard,79.63107805375184,Preprocessor1_Model1,107.613125,1147,taxaHFE_ML_no_supplement_use,-26.002448071504443
mae,standard,94.21077023268404,Preprocessor1_Model1,108.10427685950413,1303,taxaHFE_ML_no_supplement_use,-12.85194909066969
mae,standard,104.48590613275611,Preprocessor1_Model1,112.19091425619835,1389,taxaHFE_ML_no_supplement_use,-6.867764804774779
mae,standard,104.55154056950497,Preprocessor1_Model1,104.9461570247934,1475,taxaHFE_ML_no_supplement_use,-0.37601801388039463
mae,standard,98.46896967844027,Preprocessor1_Model1,106.1354597107438,1512,taxaHFE_ML_no_supplement_use,-7.223306944914914
mae,standard,101.8904931818182,Preprocessor1_Model1,109.88731921487604,1535,taxaHFE_ML_no_supplement_use,-7.277296498079706
mae,standard,117.55632066301082,Preprocessor1_Model1,106.09935433884296,1551,taxaHFE_ML_no_supplement_use,10.798337459791187
mae,standard,121.33754863529144,Preprocessor1_Model1,106.56544938016528,1583,taxaHFE_ML_no_supplement_use,13.861996867697396
mae,standard,93.05272727272734,Preprocessor1_Model1,111.24052169421488,1659,taxaHFE_ML_no_supplement_use,-16.349972244361926
mae,standard,81.06503965110842,Preprocessor1_Model1,106.59010330578512,1707,taxaHFE_ML_no_supplement_use,-23.946935843987816
mae,standard,94.89717879142997,Preprocessor1_Model1,103.696673553719,1728,taxaHFE_ML_no_supplement_use,-8.485802350960219
mae,standard,96.43586459743304,Preprocessor1_Model1,105.0979597107438,1794,taxaHFE_ML_no_supplement_use,-8.241925092695459
mae,standard,110.78770433484,Preprocessor1_Model1,110.64377582644627,1912,taxaHFE_ML_no_supplement_use,0.13008278804538573
mae,standard,117.66939938826866,Preprocessor1_Model1,105.13065599173554,1944,taxaHFE_ML_no_supplement_use,11.92681932615241
mae,standard,101.54306683397336,Preprocessor1_Model1,107.0832541322314,1976,taxaHFE_ML_no_supplement_use,-5.173719591502855
mae,standard,98.945740372316,Preprocessor1_Model1,103.76822314049586,2002,taxaHFE_ML_no_supplement_use,-4.647359877840945
mae,standard,103.37559107363596,Preprocessor1_Model1,108.43883780991736,2033,taxaHFE_ML_no_supplement_use,-4.6692189242721085
mae,standard,87.9359756946084,Preprocessor1_Model1,103.62566632231405,2127,taxaHFE_ML_no_supplement_use,-15.140737989471564
mae,standard,102.17153497232025,Preprocessor1_Model1,108.34917871900826,2138,taxaHFE_ML_no_supplement_use,-5.701606435531055
mae,standard,96.96517485701516,Preprocessor1_Model1,109.28869318181818,2307,taxaHFE_ML_no_supplement_use,-11.276114633652899
mae,standard,90.94106866036566,Preprocessor1_Model1,106.31818698347108,2482,taxaHFE_ML_no_supplement_use,-14.463299986009023
mae,standard,83.67408575757798,Preprocessor1_Model1,106.4081973140496,2515,taxaHFE_ML_no_supplement_use,-21.365000188260797
mae,standard,87.32240297545889,Preprocessor1_Model1,105.6764152892562,2521,taxaHFE_ML_no_supplement_use,-17.36812538877188
mae,standard,102.35200795354346,Preprocessor1_Model1,107.93090392561984,2530,taxaHFE_ML_no_supplement_use,-5.168951402390788
mae,standard,101.36020075757588,Preprocessor1_Model1,105.5286570247934,2784,taxaHFE_ML_no_supplement_use,-3.9500704213815254
mae,standard,91.50415967532471,Preprocessor1_Model1,109.59344008264463,2789,taxaHFE_ML_no_supplement_use,-16.505805816186403
mae,standard,94.54876552145174,Preprocessor1_Model1,107.21497417355371,2799,taxaHFE_ML_no_supplement_use,-11.81384293540808
mae,standard,111.15092011014228,Preprocessor1_Model1,104.72095041322314,2940,taxaHFE_ML_no_supplement_use,6.140098682782037
mae,standard,107.66682912221616,Preprocessor1_Model1,105.6707179752066,2980,taxaHFE_ML_no_supplement_use,1.8889917521691324
mae,standard,89.03079145536502,Preprocessor1_Model1,107.02888946280991,3064,taxaHFE_ML_no_supplement_use,-16.816112077570256
mae,standard,101.54889845238104,Preprocessor1_Model1,107.92030991735535,3098,taxaHFE_ML_no_supplement_use,-5.903811312118636
mae,standard,94.82922283910538,Preprocessor1_Model1,107.03763946280992,3274,taxaHFE_ML_no_supplement_use,-11.405722963412636
mae,standard,115.4499790295815,Preprocessor1_Model1,107.99958161157024,3351,taxaHFE_ML_no_supplement_use,6.898542852515168
mae,standard,88.23715788938198,Preprocessor1_Model1,105.35861053719007,3435,taxaHFE_ML_no_supplement_use,-16.250643929823344
mae,standard,97.10572729150604,Preprocessor1_Model1,106.64130165289257,3635,taxaHFE_ML_no_supplement_use,-8.941727279758759
mae,standard,95.56367957934742,Preprocessor1_Model1,106.23336776859504,3761,taxaHFE_ML_no_supplement_use,-10.04363168876382
mae,standard,107.49388181818183,Preprocessor1_Model1,110.50477272727272,3768,taxaHFE_ML_no_supplement_use,-2.724670468778583
mae,standard,99.58464673289308,Preprocessor1_Model1,105.92657541322316,3855,taxaHFE_ML_no_supplement_use,-5.987098757408145
mae,standard,108.14502874909334,Preprocessor1_Model1,104.50060950413224,4004,taxaHFE_ML_no_supplement_use,3.487462190176976
mae,standard,104.34292558415328,Preprocessor1_Model1,104.35166838842976,4113,taxaHFE_ML_no_supplement_use,-0.008378212261960602
mae,standard,110.36830106060606,Preprocessor1_Model1,108.43336260330578,4126,taxaHFE_ML_no_supplement_use,1.7844493713425489
mae,standard,102.01685781180348,Preprocessor1_Model1,105.1305061983471,4210,taxaHFE_ML_no_supplement_use,-2.96169827306756
mae,standard,102.2296982018694,Preprocessor1_Model1,111.46654958677686,4449,taxaHFE_ML_no_supplement_use,-8.286657673669682
mae,standard,99.47633862234984,Preprocessor1_Model1,101.8929132231405,4452,taxaHFE_ML_no_supplement_use,-2.3716807424069555
